衛星名稱,NORAD ID,軌道,型號,發射日期,物理尺寸,重量,通訊載荷,動力系統
STARLINK-35301,65843,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35364,65840,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35196,66007,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35298,65842,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-11205,60313,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-11206,60312,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-34528,64479,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34375,64477,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34523,64475,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34496,64476,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34490,64478,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34493,64472,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-32259,60937,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-34518,64480,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34492,64473,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34526,64481,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34474,64474,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-37051,68080,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-37066,68081,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-37036,68077,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-37037,68084,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-37065,68083,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-37063,68079,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34797,65363,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-37026,68075,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34817,65362,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34782,65358,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-36973,68078,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34823,65355,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34860,65357,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34800,65361,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34393,64724,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34760,65359,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34729,65364,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34680,65356,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34826,65360,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-37023,68076,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-30320,57678,53deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-37054,68082,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35031,65404,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35022,65409,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35323,66071,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34801,66076,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35129,66077,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-30321,57679,53deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30273,57681,53deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-35131,66075,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-30297,57682,53deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30313,57676,53deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30283,57680,53deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-35008,65408,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34830,65405,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35402,66079,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35299,66072,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35274,66073,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-30295,57683,53deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-35295,66070,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35035,65407,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35116,66078,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35321,66074,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-30303,57677,53deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-35036,65406,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34559,64706,70deg-B,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34405,64704,70deg-B,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34548,64716,70deg-B,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34546,64718,70deg-B,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34572,64720,70deg-B,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34447,64710,70deg-B,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34515,64712,70deg-B,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34574,64714,70deg-B,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-5841,56493,70deg-B,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-34008,64037,70deg-B,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34046,64035,70deg-B,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-33860,64033,70deg-B,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-5846,56492,70deg-B,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-34088,64025,70deg-B,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34030,64030,70deg-B,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-5873,56490,70deg-B,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-33946,64034,70deg-B,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-5526,56496,70deg-B,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-34024,64031,70deg-B,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-5529,56495,70deg-B,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-34079,64038,70deg-B,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34019,64032,70deg-B,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-5038,56472,70deg-B,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-34085,64036,70deg-B,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-5522,56498,70deg-B,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-5541,56475,70deg-B,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-36385,67717,SSO,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-36705,67712,SSO,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-36702,67714,SSO,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-36718,67715,SSO,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-36708,67713,SSO,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-36715,67716,SSO,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-36687,67711,SSO,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-36382,67807,SSO,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-36389,67806,SSO,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-36795,67809,SSO,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-36782,67805,SSO,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-36354,67800,SSO,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-36768,67803,SSO,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-36739,67802,SSO,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-36792,67804,SSO,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-36811,67808,SSO,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-36773,67801,SSO,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-37366,68807,SSO,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-37446,68808,SSO,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-37473,68804,SSO,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-36832,68805,SSO,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-37370,68806,SSO,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-37471,68802,SSO,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-37447,68810,SSO,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-37405,68809,SSO,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-37442,68811,SSO,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-37460,68803,SSO,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-37213,68686,SSO,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-34848,65402,SSO,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-34909,65401,SSO,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-34876,65400,SSO,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
